machine,app,ranks,duration,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,REALTIME (sec)
quartz,laghos,32,0.8166,40480000000,63665437500,22144625000,172276937500,135000000,57625000,22750000,15687500,0,12809.90625,631220572.3,9641429367,69843.875,2108079.656,1786875000,12.20363775
quartz,laghos,1,1.2333,43954000000,146322000000,48920000000,431182000000,1448000000,1734000000,102000000,74000000,0,6987658,95304034184,69996416403,37771,2240844,7392000000,63.670267
quartz,laghos,32,1.0333,52785375000,84759375000,29436625000,230487250000,221062500,118437500,38562500,27000000,0,11360.375,2996194010,14937098213,69842.90625,2108376.25,2610500000,18.20550119
quartz,laghos,1,1.2,43964000000,146336000000,48924000000,431188000000,1494000000,1732000000,80000000,72000000,0,6993352,95305056532,69973653799,37771,2240843,7534000000,62.53292
quartz,laghos,32,1.0333,53084375000,85247125000,29588687500,231767375000,221375000,119187500,38812500,26937500,0,11563.875,2995708540,14524503247,69873.9375,2108375.313,2600562500,18.09001841
quartz,laghos,1,1.3833,49292000000,164086000000,54858000000,483508000000,1666000000,1944000000,80000000,88000000,0,7837567,106869539535,78551812364,37771,2249202,9088000000,72.588197
quartz,laghos,32,1.15,58548062500,94070312500,32692687500,255828875000,247937500,131250000,43250000,30250000,0,11717.75,3359517259,16187868207,69843.875,2108635.594,3008937500,20.99445009
quartz,laghos,1,1.35,49312000000,164100000000,54870000000,483520000000,1664000000,1944000000,78000000,72000000,0,7837189,106870855605,78542752735,37771,2249202,8332000000,71.751572
quartz,laghos,32,1.15,58193375000,93528687500,32519437500,254382437500,247937500,136687500,43000000,30437500,0,11544,3359651945,16713930298,69843.875,2108635.594,2950562500,20.46328725
quartz,laghos,1,1.5,55010000000,183080000000,61218000000,539434000000,1722000000,2170000000,90000000,82000000,0,8728818,119065056942,87395861298,37771,2258117,9440000000,79.495436
quartz,laghos,32,1.2833,65882500000,105790000000,36747562500,287705250000,277250000,150750000,48937500,34062500,0,11845.71875,3746125996,17944072762,69842.90625,2108917.969,3283750000,23.19665378
quartz,laghos,1,1.5,54990000000,183070000000,61214000000,539412000000,1754000000,2168000000,128000000,96000000,0,8727180,119064294204,87556119460,37771,2258118,9302000000,79.382186
quartz,laghos,32,1.2666,66125062500,106196875000,36863250000,288718000000,274625000,148937500,48312500,33625000,0,11488.71875,3745715101,18541998563,69874.90625,2108918.969,3303875000,23.36092722
quartz,laghos,1,1.9666,72274000000,240576000000,80442000000,708862000000,2392000000,2850000000,116000000,102000000,0,11482814,156645570770,115099330272,37771,2285302,12154000000,103.378756
quartz,laghos,32,1.65,84884687500,136386562500,47357500000,370784187500,354625000,190812500,62625000,44562500,0,11193.125,4928548951,24488283829,69874.90625,2109753.25,4275187500,29.64774419
quartz,laghos,1,2,72260000000,240568000000,80436000000,708856000000,2384000000,2848000000,132000000,130000000,0,11483660,156648038166,114991455809,37771,2285304,12330000000,106.409956
quartz,laghos,32,1.6166,85841750000,137817062500,47841312500,374724062500,364125000,196187500,63812500,44750000,0,11400,4838677680,23702947221,69875.875,2109753.281,4288687500,29.67064413
quartz,laghos,1,2.3166,83436000000,277654000000,92846000000,818162000000,2710000000,3292000000,182000000,146000000,0,13257360,180771722204,132827054510,37771,2302598,14140000000,121.177912
quartz,laghos,32,1.85,99429250000,159744875000,55486625000,434351375000,413687500,224000000,73437500,51375000,0,11470.15625,5691268368,27783427292,69875.875,2110247.406,4918625000,33.96220344
quartz,laghos,1,2.3666,83376000000,277618000000,92822000000,818110000000,2714000000,3290000000,128000000,116000000,0,13252974,180772485206,132823025209,37771,2302599,14426000000,119.087941
quartz,laghos,32,1.9,99693812500,160112375000,55626062500,435451500000,421562500,228187500,73250000,52062500,0,11338.625,5691152047,28195245069,69875.875,2110247.406,4972000000,34.74309506
quartz,laghos,1,2.5833,93430000000,311080000000,104006000000,916736000000,3024000000,3688000000,134000000,138000000,0,14852424,202572241999,148868671845,37771,2318277,15916000000,134.102611
quartz,laghos,32,1.9833,107125812500,172328812500,59961562500,468706562500,464062500,252562500,81437500,57750000,0,11344.28125,6283262191,30743430872,69843.875,2110786.531,5667937500,39.18778937
quartz,laghos,1,2.55,93462000000,311102000000,104026000000,916756000000,3026000000,3686000000,140000000,134000000,0,14852316,202572236426,148842279085,37771,2318278,16520000000,137.166703
quartz,laghos,32,2.0833,111832937500,179504687500,62300500000,488071187500,468062500,253187500,84187500,58812500,0,11317,6378038372,30799224189,69843.875,2110736.375,5644937500,39.13898947
quartz,laghos,1,0.7333,18722000000,77512000000,27208000000,220670000000,688000000,712000000,50000000,30000000,0,30887939,77792290434,37168079192,37771,2189549,5748000000,38.546328
quartz,laghos,32,0.6,29098437500,45337750000,16517187500,126313250000,150875000,98937500,27437500,18250000,0,877977.5938,2441696660,8667590992,69875.875,2106774.375,1816687500,13.43691488
quartz,laghos,1,0.75,18722000000,77512000000,27208000000,220672000000,712000000,712000000,40000000,24000000,0,30885180,77796755598,37167429328,37771,2189547,5680000000,38.542706
quartz,laghos,32,0.6,28018250000,43730375000,15984312500,121903125000,151000000,98750000,27187500,18000000,0,877844.125,2441625420,8599874615,69875.875,2106774.375,1812000000,13.47541534
quartz,laghos,1,0.9,23430000000,96882000000,34004000000,275976000000,842000000,894000000,44000000,28000000,0,37530644,97270317507,46548092112,37771,2193877,7080000000,49.217785
quartz,laghos,32,0.7333,35964687500,56082187500,20447562500,156247750000,188875000,123875000,34062500,22812500,0,1060727.688,3053258063,10897858995,69874.90625,2106909.625,2246437500,16.80195247
quartz,laghos,1,0.9333,23410000000,96868000000,33998000000,275962000000,832000000,886000000,46000000,28000000,0,37528035,97269516692,46601606642,37771,2193877,7172000000,48.350727
quartz,laghos,32,0.75,36527312500,56886750000,20722875000,158510500000,188875000,123437500,33562500,22687500,0,1060607.313,3053348775,10838375698,69843.875,2106908.656,2264437500,16.81629219
quartz,laghos,1,1.1166,28932000000,119614000000,41974000000,340666000000,1048000000,1098000000,64000000,38000000,0,45827495,120072165245,57354272808,37771,2199060,8742000000,58.927597
quartz,laghos,32,0.9166,46582312500,72461875000,26313812500,201766875000,235375000,154562500,42875000,28437500,0,1291407.813,3768517513,13530766861,69874.90625,2107071.594,2801375000,20.78660097
quartz,laghos,1,1.1333,28912000000,119602000000,41966000000,340642000000,1046000000,1100000000,88000000,50000000,0,45820563,120067460428,57318960230,37771,2199060,8646000000,64.708801
quartz,laghos,32,0.8833,44988062500,70075937500,25534875000,195266062500,234125000,154000000,41812500,28500000,0,1291325.563,3768891748,13343359077,69843.875,2107070.625,2776187500,20.86232331
quartz,laghos,1,1.3166,33672000000,139286000000,48864000000,396510000000,1202000000,1278000000,66000000,42000000,0,52841105,139772408323,66583516862,37771,2203455,10208000000,70.2595
quartz,laghos,32,1,51387375000,80156375000,29244250000,223335875000,273562500,179750000,49562500,33000000,0,1485828.875,4386654372,15606138978,69875.875,2107208.938,3280937500,24.48055194
quartz,laghos,1,1.3166,33638000000,139258000000,48848000000,396472000000,1228000000,1276000000,66000000,40000000,0,52842274,139771616931,66520384369,37771,2203455,10120000000,69.971961
quartz,laghos,32,0.9833,51008250000,79576562500,29062937500,221792500000,273312500,178875000,48875000,33062500,0,1485954.656,4386556263,15534772133,69874.90625,2107208.906,3264750000,24.72366538
quartz,laghos,1,1.4666,37626000000,155758000000,54636000000,443244000000,1354000000,1430000000,78000000,50000000,0,57829759,156264785041,74223078074,37771,2207296,11358000000,78.778108
quartz,laghos,32,1.1166,57890812500,90233125000,32917687500,251472875000,306125000,200000000,56625000,37437500,0,1620399.188,4905395665,17300132842,69875.875,2107328.969,3676250000,27.34279891
quartz,laghos,1,1.4666,37640000000,155764000000,54640000000,443260000000,1342000000,1432000000,76000000,44000000,0,57828703,156270302649,74232723108,37771,2207296,11480000000,77.888952
quartz,laghos,32,1.1166,58499750000,91176562500,33213562500,253972250000,304437500,199562500,55750000,37625000,0,1620358.25,4905068440,17247315524,69874.90625,2107328.938,3630687500,27.14786241
quartz,laghos,1,1.5833,40972000000,169684000000,59530000000,482758000000,1510000000,1566000000,76000000,46000000,0,61894902,170219982725,80802717875,37771,2210591,12370000000,84.166428
quartz,laghos,32,1.2166,63058125000,98347625000,35844250000,273943687500,333062500,217812500,61750000,40875000,0,1730346.188,5342602630,19157815461,69874.90625,2107431.938,3956750000,30.35295619
quartz,laghos,1,1.6,40924000000,169658000000,59510000000,482716000000,1508000000,1562000000,112000000,66000000,0,61886440,170217178958,80808344848,37771,2210591,12452000000,83.919096
quartz,laghos,32,1.1833,62311000000,97208375000,35480500000,270889250000,332062500,216750000,59875000,40500000,0,1730407.969,5341817276,18811330537,69842.90625,2107430.938,4012562500,29.67027169
quartz,laghos,1,13.1666,322884000000,1589148000000,558380000000,4431640000000,23698000000,15880000000,2086000000,2114000000,0,605937214,1655157158114,769302964487,37771,2215571,128942000000,798.933732
quartz,laghos,32,2.3,106151000000,192762687500,70531500000,543545562500,1022250000,976125000,153437500,103375000,0,17797829.78,51838730790,52121133230,69875.875,2107587.531,9979062500,76.40125422
quartz,laghos,1,13.2333,322948000000,1589196000000,558410000000,4431704000000,23714000000,15854000000,2036000000,2060000000,0,605288880,1655156705924,769246651223,37771,2215571,129406000000,801.388918
quartz,laghos,32,2.3666,108814250000,196659812500,71836000000,554337187500,1020625000,976000000,154500000,105062500,0,17797556.38,51838361647,52485683634,69842.90625,2107586.5,9976250000,77.08473319
quartz,laghos,1,19.2833,430974000000,2123232000000,745640000000,5916822000000,31732000000,21260000000,3176000000,2858000000,0,779943430,2210569402519,1022537831150,37771,2230207,173332000000,1058.203394
quartz,laghos,32,3.0333,138447687500,252670000000,92604125000,712535500000,1365812500,1308187500,207250000,139250000,0,22872635.41,69233669462,69600591368,69874.90625,2108044.844,13385312500,103.1360261
quartz,laghos,1,19.2166,431278000000,2123474000000,745776000000,5917176000000,31810000000,21198000000,2672000000,2824000000,0,780217789,2210568659988,1022682619564,37771,2230207,170688000000,1050.927101
quartz,laghos,32,3.1666,146067375000,263910562500,96328562500,743496625000,1371937500,1307687500,213000000,142000000,0,22872580.47,69234217648,69807776212,69875.875,2108044.875,13250687500,105.8368765
quartz,laghos,1,24.4333,537290000000,2646634000000,929314000000,7370410000000,39752000000,26498000000,3776000000,3900000000,0,909924798,2753848527198,1269606643594,37771,2244601,211366000000,1339.630632
quartz,laghos,32,3.8,176875062500,321387000000,117526375000,905586750000,1701875000,1635812500,261812500,175937500,0,26631743.63,86247765019,86304665403,69875.875,2108494.688,16730125000,128.7681208
quartz,laghos,1,23.8666,536316000000,2645964000000,928862000000,7369366000000,39754000000,26522000000,3680000000,3552000000,0,909344312,2753848923785,1268862423700,37771,2244600,216164000000,1313.960316
quartz,laghos,32,3.7833,173418937500,316259625000,115833250000,891518250000,1703875000,1631125000,264562500,178687500,0,26631877.59,86247681838,85817275676,69875.875,2108494.688,16706375000,127.9667407
quartz,laghos,1,26.1,580464000000,2862444000000,1004800000000,7969446000000,42988000000,28638000000,3726000000,4100000000,0,954590079,2978094093364,1370941003246,37771,2250458,233938000000,1417.869592
quartz,laghos,32,4.0666,190472125000,346367187500,126696000000,975981062500,1843812500,1769625000,280312500,187187500,0,27938015.97,93270366939,94296229398,69874.90625,2108677.75,17962562500,137.6396923
quartz,laghos,1,26.3833,580776000000,2862614000000,1004938000000,7969710000000,42956000000,28624000000,3974000000,4052000000,0,954452993,2978091354153,1369598648927,37771,2250458,234966000000,1426.511749
quartz,laghos,32,4.1333,193668187500,351058375000,128278812500,989012125000,1848812500,1771750000,280250000,189937500,0,27937993.16,93270654058,93194190810,69875.875,2108677.781,18146625000,138.1985198
quartz,laghos,1,28.7666,636374000000,3135850000000,1100906000000,8727634000000,47078000000,31442000000,4348000000,4064000000,0,1000674127,3261209005823,1498365502215,37771,2258111,256346000000,1561.737206
quartz,laghos,32,4.3833,205446375000,374728875000,137231750000,1056103250000,2020500000,1937437500,308937500,206625000,0,29274896.16,102139071905,103672186114,69874.90625,2108916.906,19668875000,149.7574475
quartz,laghos,1,28.8166,635710000000,3135318000000,1100600000000,8726872000000,46828000000,31420000000,4116000000,4368000000,0,1000579724,3261208613826,1498014578648,37771,2258112,255702000000,1554.430646
quartz,laghos,32,4.45,208087687500,378600625000,138528562500,1066837750000,2018687500,1939187500,307562500,206750000,0,29274545.94,102137651510,102314280245,69874.90625,2108916.906,19708000000,150.9570895
quartz,laghos,1,33.5333,741024000000,3656610000000,1284010000000,10175170000000,54730000000,36628000000,4946000000,4740000000,0,1107051892,3802597087013,1746939910800,37771,2273181,299586000000,1790.211938
quartz,laghos,32,5.1666,240893937500,438971062500,160638250000,1236794812500,2345437500,2251437500,357937500,241062500,0,32357040.34,119091061181,118731562480,69875.875,2109387.844,23036875000,174.8034244
quartz,laghos,1,33.7,740600000000,3656274000000,1283816000000,10174686000000,54558000000,36592000000,5136000000,4920000000,0,1106701299,3802596498505,1746912414620,37771,2273181,298706000000,1791.634582
quartz,laghos,32,5.3166,251069562500,454044125000,165657812500,1278283562500,2349687500,2256250000,353750000,240687500,0,32356767.81,119095103069,118261910271,69875.875,2109387.844,23108875000,176.1863377
quartz,laghos,32,22.8166,710253562500,1964119750000,708394750000,5556457687500,16942750000,14521812500,2301687500,1847812500,0,466550980.1,1379020666550,783203291729,69843.875,2110557.094,128533812500,1085.176691
quartz,laghos,32,22.75,714307000000,1965514250000,708782500000,5560587187500,16913625000,14492187500,2298375000,1859250000,0,463103349.8,1366694449694,778858118606,69842.90625,2110532.281,128316625000,1079.955367
quartz,laghos,32,26.1,818389250000,2261463687500,815544562500,6395800562500,19542625000,16738125000,2640687500,2148125000,0,512289247.3,1581020900946,896480344770,69842.90625,2111192.563,147462125000,1245.413625
quartz,laghos,32,26.3833,830960750000,2282488375000,823000187500,6455705687500,19608937500,16804750000,2665687500,2153125000,0,513717136.1,1586468793077,899830637942,69875.875,2111193.594,147447750000,1244.844311
quartz,laghos,32,29.2166,920123937500,2531411437500,912965062500,7159236812500,21585562500,18520750000,2959500000,2362062500,0,546448573.2,1753641535063,994776341783,69875.875,2111736.781,163301437500,1378.965191
quartz,laghos,32,28.9166,909102437500,2506877812500,903922187500,7088168875000,21623000000,18524312500,2942562500,2378500000,0,544893346.7,1748599431099,987467811434,69875.875,2111736.781,163613187500,1379.512475
quartz,laghos,32,31.0666,978299312500,2693553187500,971280062500,7616167375000,23172312500,19858875000,3153250000,2538812500,0,574710377.2,1874953206639,1060779057244,69875.875,2112113,175778000000,1479.283964
quartz,laghos,32,31.4666,993737250000,2722596812500,981653375000,7698650250000,23181375000,19859875000,3155125000,2527312500,0,576125236.8,1880243976443,1066478649249,69843.875,2112112,174817125000,1476.478431
quartz,laghos,32,34.35,1083762250000,2980872687500,1075222125000,8430194187500,25611062500,21939375000,3450687500,2825312500,0,624290321.8,2077332680818,1184158764714,69874.90625,2112773.063,194646812500,1639.528917
quartz,laghos,32,34.85,1106057937500,3012554437500,1086103812500,8519468500000,25618062500,21950500000,3473187500,2817687500,0,624289930.1,2077332511565,1177401259458,69843.875,2112766.375,193646562500,1635.001315
quartz,laghos,32,47.5666,1507554750000,4133486312500,1491051812500,11691954625000,35462625000,30419312500,4819500000,3916250000,0,821297390.7,2871214092442,1631232422703,69875.875,2115255.031,269603437500,2285.397739
quartz,laghos,32,47.4333,1505190750000,4115995062500,1485017625000,11644435250000,35273312500,30238187500,4792625000,3848562500,0,820997930,2870552754969,1631108190608,69875.875,2115213.094,269000937500,2273.762424
quartz,laghos,1,0.05,1756000000,2510000000,734000000,8498000000,18000000,8000000,0,0,0,1118229,1118039287,809434728,37771,2188654,98000000,1.327392
quartz,laghos,1,0.05,1754000000,2512000000,736000000,8502000000,24000000,8000000,0,0,0,1117884,1116848268,806487653,37771,2188656,100000000,1.301731
quartz,laghos,1,0.0666,2042000000,2918000000,856000000,9888000000,30000000,10000000,0,0,0,1298632,1299900069,939595815,37771,2191342,122000000,1.533389
quartz,laghos,1,0.0666,2042000000,2920000000,856000000,9890000000,22000000,10000000,0,0,0,1299480,1300076279,938308742,37771,2191342,120000000,1.53322
quartz,laghos,1,0.0666,2200000000,3148000000,922000000,10662000000,30000000,10000000,0,0,0,1400032,1401966766,1012713190,37771,2192865,122000000,1.665316
quartz,laghos,1,0.0666,2202000000,3150000000,922000000,10660000000,34000000,12000000,2000000,0,0,1400057,1400545188,1015182301,37771,2192864,130000000,1.747685
quartz,laghos,1,0.05,2380000000,3412000000,996000000,11550000000,30000000,12000000,2000000,0,0,1517696,1516191867,1097863627,37771,2194669,132000000,1.776994
quartz,laghos,1,0.05,2384000000,3412000000,998000000,11546000000,38000000,12000000,0,0,0,1518686,1517516256,1098457626,37771,2194669,136000000,1.783772
quartz,laghos,1,0.0666,2672000000,3822000000,1120000000,12942000000,26000000,14000000,0,0,0,1700048,1698003620,1230008106,37771,2197352,158000000,2.005884
quartz,laghos,1,0.0666,2672000000,3822000000,1118000000,12944000000,38000000,12000000,0,0,0,1699667,1700449752,1229324495,37771,2197352,160000000,2.00699
quartz,laghos,1,0.0833,2916000000,4172000000,1220000000,14128000000,40000000,14000000,2000000,0,0,1857673,1855232293,1339019933,37771,2199671,172000000,2.319004
quartz,laghos,1,0.0666,2918000000,4172000000,1222000000,14126000000,46000000,16000000,2000000,0,0,1855347,1854279639,1339390396,37771,2199672,170000000,2.199857
quartz,laghos,1,0.2,8380000000,20164000000,6518000000,61854000000,200000000,168000000,8000000,6000000,0,3312123,11848127229,8459776126,37771,2210870,966000000,8.921564
quartz,laghos,32,0.5,24319062500,38246437500,13239437500,103386750000,78062500,33375000,12625000,8500000,0,12273.8125,374479994,5353670044,69875.875,2107440.625,1025687500,7.278401937
quartz,laghos,1,0.2,8380000000,20168000000,6520000000,61850000000,240000000,168000000,8000000,6000000,0,3312251,11849191558,8455499087,37771,2210870,980000000,8.893593
quartz,laghos,32,0.5,24786812500,38951187500,13471750000,105308437500,78062500,33000000,12812500,8500000,0,12634.15625,374465004.9,5573401359,69875.875,2107440.625,1029687500,7.196961438
quartz,laghos,1,0.2166,9580000000,23056000000,7454000000,70716000000,200000000,192000000,8000000,6000000,0,3786790,13544381142,9661557876,37771,2216423,1118000000,10.558424
quartz,laghos,32,0.5666,26488312500,41713875000,14485625000,112792187500,89312500,37937500,14812500,9875000,0,13038.71875,428087164.7,6222552693,69843.875,2107613.156,1175562500,8.163866219
quartz,laghos,1,0.2166,9568000000,23052000000,7448000000,70710000000,236000000,190000000,10000000,6000000,0,3786498,13541617296,9667786310,37771,2216422,1120000000,10.172936
quartz,laghos,32,0.5666,27704937500,43569312500,15087562500,117792437500,89500000,37937500,15187500,9875000,0,13298.46875,428084028.4,6328871239,69843.875,2107613.156,1176437500,8.273859031
quartz,laghos,1,0.2333,10228000000,24622000000,7958000000,75506000000,232000000,204000000,10000000,8000000,0,4041972,14466353387,10328948034,37771,2219491,1186000000,11.416751
quartz,laghos,32,0.5666,27915687500,43961625000,15282437500,118896562500,95187500,39812500,15937500,10812500,0,11801.9375,457191690.4,6779617800,69875.875,2107710,1231562500,8.813869344
quartz,laghos,1,0.25,10228000000,24614000000,7956000000,75516000000,234000000,204000000,10000000,8000000,0,4041983,14465784300,10330133682,37771,2219491,1170000000,10.956007
quartz,laghos,32,0.5833,28494812500,44844812500,15570125000,121282625000,95625000,39937500,16062500,10562500,0,12838.5,457225960.1,6877920863,69843.875,2107709,1249437500,8.798682156
quartz,laghos,1,0.2333,11170000000,26890000000,8692000000,82486000000,272000000,224000000,12000000,6000000,0,4415216,15793695645,11283377627,37771,2223938,1330000000,11.925638
quartz,laghos,32,0.65,32028062500,50382500000,17456875000,136217375000,104187500,44000000,17500000,11750000,0,12520.1875,499414347.7,7150914934,69875.875,2107848.969,1349375000,9.524465938
quartz,laghos,1,0.2666,11172000000,26888000000,8692000000,82484000000,220000000,224000000,10000000,6000000,0,4414645,15801578838,11284240191,37771,2223938,1308000000,13.556022
quartz,laghos,32,0.6333,31862750000,50128000000,17375187500,135536187500,105812500,45312500,17125000,11812500,0,13238.96875,499359905.2,7201774675,69875.875,2107848.969,1378000000,9.5996455
quartz,laghos,1,0.2666,12566000000,30246000000,9778000000,92782000000,310000000,252000000,12000000,8000000,0,4965776,17768576200,12697720781,37771,2230463,1446000000,14.613785
quartz,laghos,32,0.7166,35569437500,55983562500,19409687500,151348000000,118125000,49625000,19750000,13375000,0,12368.09375,561803898.2,8183672285,69875.875,2108052.875,1525375000,10.63173681
quartz,laghos,1,0.2833,12568000000,30246000000,9778000000,92780000000,336000000,250000000,12000000,8000000,0,4966253,17772514198,12693414672,37771,2230463,1480000000,13.41602
quartz,laghos,32,0.7166,33930937500,53441437500,18594375000,144560750000,118250000,49812500,19750000,13500000,0,12022.75,561818530.7,8319708805,69875.875,2108052.875,1532687500,10.60874863
quartz,laghos,1,0.2833,13582000000,32702000000,10572000000,100296000000,270000000,272000000,14000000,10000000,0,5366379,19209515153,13718614740,37771,2235223,1600000000,14.471437
quartz,laghos,32,0.75,39076562500,61473125000,21290187500,166177187500,126125000,53937500,21500000,14562500,0,12813.0625,607372790,8774683193,69875.875,2108201.656,1675687500,11.61436006
