embedded_machine_dim_0,core,Basic_DAXPY,Basic_DAXPY_ATOMIC,Basic_IF_QUAD,Basic_INDEXLIST,Basic_INDEXLIST_3LOOP,Basic_INIT3,Basic_INIT_VIEW1D,Basic_INIT_VIEW1D_OFFSET,Basic_MAT_MAT_SHARED,Basic_MULADDSUB,Basic_NESTED_INIT,Basic_PI_ATOMIC,Basic_PI_REDUCE,Basic_REDUCE3_INT,Basic_REDUCE_STRUCT,Basic_TRAP_INT,Lcals_DIFF_PREDICT,Lcals_EOS,Lcals_FIRST_DIFF,Lcals_FIRST_MIN,Lcals_FIRST_SUM,Lcals_GEN_LIN_RECUR,Lcals_HYDRO_1D,Lcals_HYDRO_2D,Lcals_INT_PREDICT,Lcals_PLANCKIAN,Lcals_TRIDIAG_ELIM,Polybench_2MM,Polybench_3MM,Polybench_ADI,Polybench_ATAX,Polybench_FDTD_2D,Polybench_FLOYD_WARSHALL,Polybench_GEMM,Polybench_GEMVER,Polybench_GESUMMV,Polybench_HEAT_3D,Polybench_JACOBI_1D,Polybench_JACOBI_2D,Polybench_MVT,Stream_ADD,Stream_COPY,Stream_DOT,Stream_MUL,Stream_TRIAD,Apps_CONVECTION3DPA,Apps_DEL_DOT_VEC_2D,Apps_DIFFUSION3DPA,Apps_ENERGY,Apps_FIR,Apps_HALOEXCHANGE,Apps_HALOEXCHANGE_FUSED,Apps_LTIMES,Apps_LTIMES_NOVIEW,Apps_MASS3DPA,Apps_NODAL_ACCUMULATION_3D,Apps_PRESSURE,Apps_VOL3D,Algorithm_SCAN,Algorithm_SORT,Algorithm_SORTPAIRS,Algorithm_REDUCE_SUM,Algorithm_MEMSET,Algorithm_MEMCPY
1.2152075,-0.43495888,-0.2941183,0.2562511,-0.039093316,-0.3004758,-0.20033099,0.033772398,-0.25464973,-0.22363262,-0.17431362,0.029065466,-0.19708347,-0.17108026,0.12568872,-0.56699145,-0.47193223,0.076838925,0.46776545,-0.26800615,-0.30206886,-0.32688594,-0.30653697,0.27003008,-0.30703783,-0.14414565,0.008600645,0.32095873,-0.2789593,0.37181282,0.37713978,-0.18971182,0.24249476,-0.30639896,-0.2962074,0.39896154,0.23372382,-0.40500617,-0.19266914,-0.2829104,-0.21683203,0.2571614,-0.3150194,-0.31646097,-0.37275353,-0.31688967,-0.30563515,-0.3075623,-0.120787546,-0.25990757,0.014606699,-0.06280949,-0.34575188,-0.32223716,-0.240705,-0.2461535,-0.23658171,0.3181942,-0.1713958,-0.19468345,-0.33735052,,,-0.3261676,-0.2712153,-0.3244118
1.2152075,-0.5157331,-0.096438885,0.93155026,0.23424368,-0.11412929,0.010000986,0.5011184,-0.059016213,-0.041473173,0.04317717,0.50436753,-0.009137367,-0.16246758,0.47235176,-0.40874612,-0.344629,0.4038417,0.26101398,0.3149003,-0.097106054,-0.18112832,-0.10221997,0.07733671,0.12512422,0.13848653,0.13016336,0.69023484,0.33038238,0.74734515,0.75566965,0.032143876,0.61194086,0.10327799,-0.07460718,0.7904779,0.6072936,-0.24658011,0.051415198,-0.078076474,0.00971023,0.62871945,0.10656212,-0.11410725,-0.2455622,-0.11118716,0.11157458,-0.093132086,0.118217185,-0.094616525,0.27395305,0.24251276,-0.47734997,-0.32913044,-0.06481218,-0.0746683,-0.026372675,1.0081547,0.2991754,0.017335268,-0.13513443,,,-0.273364,-0.06482104,-0.13504773
1.2152075,-0.59650743,0.7306593,2.9597805,1.015989,0.37730166,0.64331466,1.0323684,0.5106431,0.49059117,0.5849212,1.0233644,0.57486045,-0.17666556,1.3986079,-0.07646189,0.18584028,1.3035979,0.9692255,0.9312182,0.7100233,0.28398243,0.69410235,0.59317404,1.1100894,0.7668188,0.71093863,1.7460674,1.027207,1.8646573,1.8833665,0.59026814,1.6742872,0.99059165,0.75192285,1.9258839,1.5876814,0.34876254,0.83536035,0.7538273,0.8022833,1.7121652,1.1095786,0.7121505,0.22123547,0.7157424,1.1156034,0.44771478,0.8169546,0.42685026,0.830766,1.1458067,-0.5429317,-0.3483924,0.4511528,0.43523064,0.5858315,3.0364456,0.9498513,0.6251474,0.5198278,,,-0.12636378,0.4492811,0.6445852
0.74751973,0.7766553,-0.35383344,-0.58958054,-0.43862453,-0.5233699,-0.45383376,-0.55361503,-0.3932273,-0.3772776,-0.47964072,-0.5504376,-0.41967136,-0.15278167,-0.4324906,-0.020719888,-0.46919703,-0.44415367,0.24444859,-0.53417546,-0.43792886,-0.433514,-0.43904355,-0.10819567,-0.48947313,-0.089259624,-0.17419052,-0.37033358,-0.5210289,-0.27808157,-0.27313334,-0.5504839,-0.33601713,-0.47932166,-0.44572175,-0.26337704,-0.23990573,-0.52901745,-0.45864427,-0.44634604,-0.46694565,-0.33929697,-0.48538554,-0.43334356,-0.43533814,-0.41608337,-0.48212978,-0.54752207,-0.4813972,-0.5439504,-0.3149598,-0.54448897,1.0875022,0.18994536,-0.4910901,-0.4927056,-0.5247121,-0.5569187,-0.53419906,-0.49470988,-0.4965625,,,-0.29618526,-0.16742338,-0.38541907
0.74751973,0.049686812,-0.37457526,-0.120743826,-0.29658183,-0.46775958,-0.38084722,-0.48493212,-0.37962666,-0.35115403,-0.4191529,-0.48012617,-0.34733465,-0.15332642,-0.36625952,-0.51837206,-0.43199855,-0.35025597,0.22249822,-0.4962602,-0.3875714,-0.46065316,-0.359085,-0.12046024,-0.4497204,-0.0975196,-0.20883827,-0.33931488,-0.4851669,-0.16227533,-0.16329159,-0.47649696,-0.2115846,-0.44050318,-0.388294,-0.14723614,-0.18296081,-0.52923876,-0.33047992,-0.38646606,-0.37695247,-0.19809048,-0.444558,-0.39168206,-0.44146377,-0.36958846,-0.4426572,-0.4924792,-0.37677327,-0.46553627,-0.2988972,-0.44383678,0.38975406,-0.13499501,-0.39241344,-0.3947954,-0.44622678,-0.05878503,-0.48158664,-0.37750566,-0.4465616,,,-0.2953983,-0.19527966,-0.30866385
0.74751973,-0.03108747,-0.30382955,-0.0041249255,-0.25973454,-0.4448283,-0.36244303,-0.47942784,-0.35581908,-0.32271305,-0.41007075,-0.48097768,-0.33279642,-0.13906316,-0.3549841,-0.54593337,-0.46958777,-0.32830366,0.19840051,-0.48914462,-0.3441173,-0.47255972,-0.37315443,-0.41824362,-0.43798846,-0.12363421,-0.16202314,-0.33288315,-0.47062984,-0.14586188,-0.15037814,-0.45312825,-0.17822972,-0.42678228,-0.3667248,-0.13751294,-0.16231482,-0.52208287,-0.2847527,-0.36624837,-0.3604391,-0.15852204,-0.43422154,-0.34571442,-0.40224338,-0.35562596,-0.4316357,-0.48055413,-0.3499221,-0.44155475,-0.20542099,-0.4209784,0.20731224,-0.17617595,-0.37010756,-0.3730036,-0.42650676,0.07334904,-0.45202246,-0.35299668,-0.4381267,,,-0.3008282,-0.09099207,-0.34296423
0.74751973,-0.31379744,-0.32121822,-0.23272619,-0.29012376,-0.39793372,-0.3037439,-0.4221648,-0.37547705,-0.32824692,-0.4022185,-0.41561338,-0.33318818,-0.19101962,-0.3771875,-0.5248753,-0.4409856,-0.35524166,0.27102405,-0.4798021,-0.39340997,-0.3957819,-0.3955304,-0.12943622,-0.45258096,-0.10982897,-0.17991564,-0.3072758,-0.48471087,-0.27984205,-0.26468548,-0.3775792,-0.31358755,-0.45041513,-0.38968998,-0.23510791,-0.26792246,-0.4760858,-0.34768733,-0.40176803,-0.38434148,-0.3111726,-0.44655845,-0.39650354,-0.430886,-0.39336443,-0.44588846,-0.4645412,-0.36610705,-0.39813095,-0.28922543,-0.4041206,-0.11022739,-0.28143084,-0.29576978,-0.2987426,-0.44297457,-0.15481806,-0.46433225,-0.37588462,-0.4002665,,,-0.30011994,-0.15840231,-0.3499969
0.74751973,-0.3541846,-0.32987592,-0.12648955,-0.25926676,-0.36592716,-0.2749984,-0.4835367,-0.35115525,-0.30272353,-0.3923646,-0.48567382,-0.3023706,-0.18767054,-0.35899526,-0.52332693,-0.45395815,-0.3299807,0.14670792,-0.4779172,-0.3271919,-0.37319857,-0.3446129,-0.20257078,-0.4369243,-0.133521,-0.16956662,-0.31592417,-0.46976882,-0.29642707,-0.2877461,-0.33638975,-0.28226334,-0.43634683,-0.36768594,-0.278433,-0.23594296,-0.4299781,-0.3193345,-0.3722765,-0.3559494,-0.27355593,-0.43149298,-0.37576076,-0.42277312,-0.3398082,-0.43057245,-0.45115802,-0.33697844,-0.36430058,-0.21229172,-0.374804,-0.18759072,-0.31027767,-0.26215342,-0.2654078,-0.42346135,-0.04304975,-0.4622456,-0.34680942,-0.3694031,,,-0.29508352,-0.08246666,-0.2983953
0.74751973,-0.5157331,-0.14834839,0.83522695,0.25005192,-0.14533685,-0.024089158,0.53717375,-0.1157379,-0.055019997,-0.21065462,0.5415393,-0.026666567,-0.1755938,-0.19747604,-0.6255206,-0.41394633,-0.11147019,0.454591,0.20090157,-0.15235534,-0.15678415,-0.15667355,-0.16867648,-0.1063145,0.12832525,0.1687644,-0.092291065,0.2202821,-0.19549976,-0.19091986,-0.12896436,-0.16388084,-0.14872763,-0.11233178,-0.18436846,-0.27794826,-0.38612047,-0.10639517,-0.15668057,-0.10622981,-0.15400805,-0.08253609,-0.15693323,-0.30713576,-0.14063975,-0.07708782,-0.1424988,-0.0445462,-0.049982544,0.33964464,-0.09034732,-0.5804069,-0.36686474,0.065872,0.057517402,-0.22955093,0.98034966,0.24145299,-0.07427588,-0.10291592,,,-0.31963602,-0.07364385,-0.19614127
0.74751973,-0.59650743,0.25402817,2.5894814,0.83946794,0.2965162,0.5173939,0.9459055,0.37229946,0.4436305,0.13432218,0.93196815,0.5192197,-0.18288805,0.115234494,-0.32110733,-0.101432115,0.30494314,0.8330895,0.6894528,0.24568595,0.3076558,0.23823209,0.31613588,0.36900082,0.61304474,0.55831087,0.081865504,0.7153363,-0.023531526,-0.018835094,0.3620799,0.1648765,0.29101387,0.23057345,0.0033199044,0.12542148,-0.1303887,0.38042206,0.24105762,0.3537209,0.16169678,0.30173936,0.22712304,-0.11205521,0.23143272,0.2973662,0.28757232,0.46537626,0.46423995,0.7992092,0.42655343,-0.5486703,-0.34393135,0.6750054,0.6348858,0.14165168,2.853924,0.6693789,0.42296582,0.47624293,,,-0.18184298,0.5165922,0.18017076
