embedded_machine_dim_0,ranks,duration,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,REALTIME (sec)
0.97617733,-0.90265006,-0.26849043,-0.27267686,-0.2614592,-0.2590742,-0.25949445,-0.2280377,-0.24598591,-0.119543895,-0.21917512,0.0,-0.19762601,-0.21759832,-0.23050229,-0.35038006,0.72185546,-0.19705293,-0.24572186
0.97617733,-0.90265006,-0.26849043,-0.27267686,-0.2614592,-0.2590742,-0.25949445,-0.2280377,-0.24598591,-0.119543895,-0.21917512,0.0,-0.19762956,-0.2175999,-0.23049423,-0.35038006,0.72185546,-0.19705293,-0.24570142
0.97617733,-0.90265006,-0.26541585,-0.27024826,-0.26045147,-0.25824967,-0.25826123,-0.22877507,-0.24500823,-0.119543895,-0.21917512,0.0,-0.19597507,-0.21711613,-0.22968394,-0.35038006,0.7248115,-0.19656636,-0.24482714
0.97617733,-0.90265006,-0.26541585,-0.27024826,-0.26045147,-0.25828356,-0.25826123,-0.22730032,-0.24549706,-0.119543895,-0.21917512,0.0,-0.19597264,-0.21711385,-0.2296831,-0.35038006,0.7248115,-0.19664745,-0.24484642
0.97617733,-0.90265006,-0.26541585,-0.26784626,-0.2594597,-0.25743642,-0.25704223,-0.2282835,-0.24500823,-0.119543895,-0.21917512,0.0,-0.19432957,-0.21663967,-0.2288844,-0.35038006,0.72763497,-0.19636363,-0.24396211
0.97617733,-0.90265006,-0.26541585,-0.26785952,-0.25946367,-0.25743642,-0.2570451,-0.2282835,-0.24451938,-0.119543895,-0.21917512,0.0,-0.1943248,-0.21663786,-0.2288785,-0.35038006,0.72763497,-0.19652581,-0.24401653
0.97617733,-0.90265006,-0.26541585,-0.26598832,-0.25869095,-0.2568152,-0.25609633,-0.22754611,-0.24451938,-0.119543895,-0.21917512,0.0,-0.1930478,-0.21626846,-0.22825673,-0.35038006,0.72988147,-0.19595815,-0.24262583
0.97617733,-0.90265006,-0.26541585,-0.26598832,-0.25869095,-0.2568152,-0.25609776,-0.2280377,-0.24403055,-0.119543895,-0.21917512,0.0,-0.19304878,-0.21626788,-0.22825721,-0.35038006,0.7298836,-0.1959176,-0.2433056
0.97617733,-0.90265006,-0.26541585,-0.2646214,-0.25810546,-0.2563408,-0.25538796,-0.22680874,-0.24451938,-0.11851938,-0.21917512,0.0,-0.19208862,-0.21598628,-0.22777604,-0.35038006,0.7315522,-0.1957554,-0.2426923
0.97617733,-0.90265006,-0.26232272,-0.26459488,-0.2581134,-0.2563521,-0.25538796,-0.2277919,-0.24451938,-0.119543895,-0.21917512,0.0,-0.19208284,-0.2159892,-0.22778378,-0.35038006,0.7315511,-0.19579595,-0.24274363
0.97617733,-0.90265006,-0.26541585,-0.26363936,-0.25769916,-0.25600195,-0.25488728,-0.22582556,-0.24403055,-0.119543895,-0.21917512,0.0,-0.19143313,-0.21579094,-0.22744781,-0.35038006,0.73277444,-0.19563377,-0.24246204
0.97617733,-0.90265006,-0.26541585,-0.26361284,-0.25769916,-0.25599065,-0.25488442,-0.22656295,-0.24403055,-0.11851938,-0.21917512,0.0,-0.19142173,-0.21579094,-0.22744538,-0.35038006,0.73277336,-0.19563377,-0.24249001
0.97617733,-0.90265006,-0.24380106,-0.23436378,-0.22943924,-0.22921006,-0.22504511,-0.20714536,-0.20981167,-0.11647035,-0.21215805,0.0,-0.1855535,-0.1956992,-0.19360864,-0.35038006,0.7382834,-0.180915,-0.22160573
0.97617733,0.70460594,-0.19132918,-0.13779774,-0.1968553,-0.19413255,-0.19878455,-0.22250737,-0.24106695,-0.11310867,-0.20393494,0.0,-0.20857748,-0.22002022,-0.2081363,0.20440124,0.63453543,-0.1785341,-0.22748774
0.97617733,-0.90265006,-0.24380106,-0.23433724,-0.22944722,-0.22921006,-0.22504228,-0.20714536,-0.20883399,-0.11647035,-0.21215805,0.0,-0.18554944,-0.19569893,-0.19362256,-0.35038006,0.7382834,-0.1808339,-0.22135317
0.97617733,0.70460594,-0.17588212,-0.12595928,-0.19140795,-0.18912919,-0.19354852,-0.22256882,-0.2408989,-0.11314069,-0.20404458,0.0,-0.20857663,-0.22002022,-0.20739913,0.20441797,0.6345355,-0.17867222,-0.22746654
0.97617733,-0.90265006,-0.23454022,-0.22675957,-0.22403818,-0.22427411,-0.2190895,-0.21034065,-0.20345673,-0.11544584,-0.20864953,0.0,-0.18233436,-0.19218531,-0.18768223,-0.35038006,0.7433586,-0.17807667,-0.21761514
0.97617733,0.70460594,-0.17280751,-0.11003752,-0.18383363,-0.18148561,-0.18621436,-0.22104798,-0.23969208,-0.11202013,-0.20163247,0.0,-0.2085807,-0.21990907,-0.204151,0.204297,0.63469386,-0.1758605,-0.22373258
0.97617733,-0.90265006,-0.23763335,-0.22675957,-0.22404616,-0.22427411,-0.21909091,-0.20345847,-0.20345673,-0.11544584,-0.20864953,0.0,-0.18233226,-0.19218095,-0.1877004,-0.35038006,0.7433586,-0.1778334,-0.21575862
0.97617733,0.70460594,-0.17280751,-0.1038085,-0.1809642,-0.17884327,-0.18345684,-0.2209174,-0.239356,-0.11214819,-0.20163247,0.0,-0.2085799,-0.2199091,-0.20369847,0.20441797,0.63469404,-0.17586303,-0.2232707
0.97617733,-0.90265006,-0.23454022,-0.21955347,-0.21891198,-0.21959797,-0.21343967,-0.20640798,-0.19905716,-0.11442133,-0.20864953,0.0,-0.17926827,-0.18885624,-0.18210824,-0.35038006,0.74810857,-0.17552218,-0.21331702
0.97617733,0.70460594,-0.16662128,-0.08860379,-0.1737557,-0.1715502,-0.17646475,-0.21980366,-0.23853108,-0.1113798,-0.19965893,0.0,-0.20857547,-0.21980375,-0.19909903,0.20443472,0.6348425,-0.17305765,-0.22093973
0.97617733,-0.90265006,-0.23454022,-0.21954021,-0.21890798,-0.21960926,-0.21343967,-0.20812853,-0.19807948,-0.11544584,-0.20864953,0.0,-0.17926988,-0.18885595,-0.18205132,-0.35038006,0.7481096,-0.17592765,-0.21343672
0.97617733,0.70460594,-0.16045356,-0.084246375,-0.17171885,-0.16970982,-0.17452464,-0.21979597,-0.23846997,-0.11121973,-0.19943964,0.0,-0.20857133,-0.21980378,-0.20001434,0.20388171,0.6348415,-0.17284603,-0.2206643
0.97617733,-0.90265006,-0.22837251,-0.20782201,-0.21056743,-0.21199639,-0.20424095,-0.20395006,-0.19074687,-0.113396816,-0.205141,0.0,-0.17428333,-0.18344034,-0.17293294,-0.35038006,0.7558335,-0.17183235,-0.20700966
0.97617733,0.70460594,-0.15119272,-0.057649855,-0.15908901,-0.15703747,-0.16229866,-0.21755312,-0.23660627,-0.10955489,-0.19582148,0.0,-0.2085791,-0.21963231,-0.19412135,0.20441797,0.63508385,-0.16822995,-0.21500227
0.97617733,-0.90265006,-0.22837251,-0.20776892,-0.21055548,-0.2119738,-0.2042438,-0.20444164,-0.18928035,-0.11442133,-0.205141,0.0,-0.1742749,-0.18343692,-0.1729376,-0.35038006,0.7558325,-0.1718729,-0.2071656
0.97617733,0.70460594,-0.15428585,-0.065561794,-0.16273217,-0.16038644,-0.16579437,-0.21762225,-0.236591,-0.10965094,-0.19604075,0.0,-0.20858549,-0.2196324,-0.19357903,0.20441797,0.63508385,-0.16852012,-0.21560907
0.97617733,-0.90265006,-0.22527939,-0.19976658,-0.20483577,-0.2067442,-0.19792688,-0.20001738,-0.18341425,-0.113396816,-0.205141,0.0,-0.17088214,-0.17971048,-0.16666375,-0.35038006,0.76122457,-0.16948059,-0.2027413
0.97617733,0.70460594,-0.13883877,-0.0349699,-0.14836869,-0.14648752,-0.15195157,-0.21635488,-0.2355522,-0.10843433,-0.19329971,0.0,-0.2085793,-0.2195144,-0.18947291,0.20443472,0.6352524,-0.16600618,-0.21259485
0.97617733,-0.90265006,-0.22527939,-0.19976658,-0.20483977,-0.20675549,-0.19793114,-0.19829683,-0.18341425,-0.113396816,-0.205141,0.0,-0.17087886,-0.17971519,-0.16667724,-0.35038006,0.76122457,-0.16830471,-0.20230183
0.97617733,0.70460594,-0.12957793,-0.015974281,-0.13966604,-0.13846661,-0.14357112,-0.21640866,-0.2356897,-0.10853038,-0.19362864,0.0,-0.20857279,-0.21951436,-0.19063382,0.20443472,0.6352524,-0.16526619,-0.21158138
0.97617733,-0.90265006,-0.21911168,-0.19368851,-0.20051414,-0.2028135,-0.1931675,-0.19829683,-0.18048121,-0.113396816,-0.205141,0.0,-0.16829039,-0.17691204,-0.16192093,-0.35038006,0.76514494,-0.16741267,-0.1992146
